                                      name_ru                                       | doc_count |                type_counts                
------------------------------------------------------------------------------------+-----------+-------------------------------------------
 федеративное обучение                                                              |        49 | {"media": 24, "patent": 1, "science": 24}
 нейронный процессор                                                                |        38 | {"media": 38}
 федеративное обучение                                                              |        23 | {"media": 5, "science": 18}
 сжатие моделей глубоких нейронных сетей                                            |        18 | {"media": 14, "science": 4}
 оптимизация глубоких нейронных сетей                                               |        16 | {"media": 9, "patent": 3, "science": 4}
 обрезка нейронных сетей                                                            |        13 | {"media": 11, "science": 2}
 layer-wise curriculum learning                                                     |        13 | {"science": 13}
 LLM-инференс                                                                       |        12 | {"media": 12}
 распределённые системы машинного обучения                                          |        10 | {"media": 9, "patent": 1}
 обеспечение безопасности автономных конечных точек ИИ                              |         9 | {"media": 9}
 биоморфный нейропроцессор                                                          |         8 | {"media": 8}
 коалиционная федерализованная машинная обучаемость                                 |         7 | {"media": 1, "science": 6}
 вызов галлюцинаций для машинного обучения                                          |         6 | {"media": 4, "patent": 1, "science": 1}
 нейропроцессорный модуль                                                           |         6 | {"media": 3, "patent": 1, "science": 2}
 FedQoS                                                                             |         6 | {"science": 6}
 адаптивный формат FP4                                                              |         6 | {"media": 6}
 сквозная аналитика                                                                 |         6 | {"media": 6}
 нейронная модель кусочно-линейной функции                                          |         5 | {"media": 3, "patent": 1, "science": 1}
 FedPGT                                                                             |         5 | {"science": 5}
 обнаружение атак на телекоммуникационные сети                                      |         5 | {"media": 3, "science": 2}
 балансировка нагрузки                                                              |         5 | {"media": 3, "science": 2}
 модули камер на краю                                                               |         5 | {"media": 5}
 адаптивная базовая сеть                                                            |         4 | {"science": 4}
 автоматизированный учебный курс на основе семантической сети понятий               |         4 | {"media": 1, "science": 3}
 PrefixBench-H100                                                                   |         4 | {"media": 2, "science": 2}
 SWB-DM                                                                             |         4 | {"science": 4}
 плотная структурная компрессия трансформеров                                       |         4 | {"media": 3, "science": 1}
 параметрический сервер для распределенных ML                                       |         4 | {"media": 3, "science": 1}
 Ollama                                                                             |         4 | {"media": 4}
 UP Squared Pro 710H                                                                |         4 | {"media": 4}
 краевая аналитика                                                                  |         4 | {"media": 4}
 Bonsai 2 27B                                                                       |         4 | {"media": 4}
 настройки ИИ на устройстве                                                         |         4 | {"media": 4}
 распознавание геомагнитных пульсаций Pc3                                           |         3 | {"media": 1, "science": 2}
 федеративные графовые нейронные сети                                               |         3 | {"media": 2, "science": 1}
 CALM                                                                               |         3 | {"science": 3}
 сервер-меньше-реал-тайм-аналитика-краевых-вычислений                               |         3 | {"media": 2, "science": 1}
 беспроводные технологии с низким энергопотреблением                                |         3 | {"media": 3}
 обработка на краю сети                                                             |         3 | {"media": 3}
 метод анализа медицинской информации                                               |         2 | {"patent": 1, "science": 1}
 Differentially Private Federated Proximal Optimization                             |         2 | {"science": 2}
 фигурные сверхрешетки                                                              |         2 | {"media": 1, "science": 1}
 иерархическое представление компьютерной сети                                      |         2 | {"science": 2}
 метод прогнозирования рисков природных чрезвычайных ситуаций на дорожной сети      |         2 | {"science": 2}
 управляющий устройство асинхронного электропривода на диодно-транзисторных модулях |         2 | {"science": 2}
 VPN на основе MPLS                                                                 |         2 | {"media": 1, "science": 1}
 постобработка веса и активации                                                     |         2 | {"media": 1, "science": 1}
 NEXUS-MI                                                                           |         2 | {"media": 1, "science": 1}
 SecureBoost                                                                        |         2 | {"media": 1, "science": 1}
 YOLOv8                                                                             |         2 | {"media": 2}
 спекулятивное декодирование                                                        |         2 | {"media": 2}
 Shortest Path Bridging                                                             |         2 | {"media": 2}
 SEV                                                                                |         2 | {"media": 2}
 реалтайм-аналитика                                                                 |         2 | {"media": 2}
 Daml                                                                               |         2 | {"media": 2}
 ультранизкопотребляемая энергия-хищающая и управление питанием                     |         2 | {"media": 2}
 HyperNova 60B                                                                      |         2 | {"media": 2}
 метод передачи служебной информации через осветительную сеть                       |         1 | {"science": 1}
 верификация граничного условия на краю трещины гидроразрыва                        |         1 | {"science": 1}
 1С:Предприятие 8                                                                   |         1 | {"science": 1}
 устройство для озонирования воды                                                   |         1 | {"science": 1}
 QPriv-VL                                                                           |         1 | {"science": 1}
 матричные модели CODI                                                              |         1 | {"science": 1}
 объединённый фильтр частиц LSTM                                                    |         1 | {"science": 1}
 граничные вычисления                                                               |         1 | {"media": 1}
 NB-IoT                                                                             |         1 | {"media": 1}
 усилитель сотовой связи                                                            |         1 | {"media": 1}
 vLLM                                                                               |         1 | {"media": 1}
 реальное время генерация AR-изображений                                            |         1 | {"media": 1}
 Alexa Voice Services                                                               |         1 | {"media": 1}
 Graph Aware Financial Crime Intelligence                                           |         1 | {"media": 1}
 коммуникационные технологии                                                        |         1 | {"media": 1}
(72 rows)

